Wiki ID	Document	People	Places	PER BORN	PLACE BORN	Student ID
16743	Karl Marx ( ; 5 May 1818 – 14 March 1883 ) was a German philosopher , economist , historian , sociologist , political theorist , journalist and socialist revolutionary . Born in Trier , Germany , to a Jewish middle-class family , Marx studied law and philosophy at university . Due to his political publications , Marx became stateless and lived in exile in London for decades , where he continued to develop his thought in collaboration with German thinker Friedrich Engels and publish his writings , researching in the reading room of the British Museum . His best-known titles are the 1848 pamphlet , `` The Communist Manifesto '' , and the three-volume `` Das Kapital '' .	Karl Marx; Friedrich Engels; Marx; Marx	Trier; Germany; London	Marx	Trier	12345
385144	Dragoljub `` Draža '' Mihailović ( ; 27 April 1893 – 17 July 1946 ) was a Yugoslav Serb general during World War II . A staunch royalist , he retreated to the mountains near Belgrade when the Germans overran Yugoslavia in April 1941 and there he organized bands of guerrillas known as the Chetnik Detachments of the Yugoslav Army . The organisation is commonly known as the Chetniks , although the name of the organisation was later changed to the Yugoslav Army in the Fatherland ( JVUO , ЈВУО ) . Founded as the first Yugoslav resistance movement , it was royalist and nationalist , as opposed to the other , Josip Broz Tito 's Partisans who were communist .	Josip Broz Tito 's	Fatherland; Yugoslavia; Belgrade			12345
26308	Joseph Rudyard Kipling ( ; 30 December 1865 – 18 January 1936 ) was an English journalist , short-story writer , poet , and novelist . He was born in India , which inspired much of his work . Kipling 's works of fiction include `` The Jungle Book '' ( 1894 ) , `` Kim '' ( 1901 ) , and many short stories , including `` The Man Who Would Be King '' ( 1888 ) . His poems include `` Mandalay '' ( 1890 ) , `` Gunga Din '' ( 1890 ) , `` The Gods of the Copybook Headings '' ( 1919 ) , `` The White Man 's Burden '' ( 1899 ) , and `` If— '' ( 1910 ) .	Joseph Rudyard Kipling; Kim	Kipling; India	Joseph Rudyard Kipling	India	12345
40608	William Jennings Bryan ( March 19 , 1860 – July 26 , 1925 ) was an American orator and politician from Nebraska . Beginning in 1896 , he emerged as a dominant force in the Democratic Party , standing three times as the party 's nominee for President of the United States . He also served in the United States House of Representatives and as the United States Secretary of State under Woodrow Wilson . Just before his death he gained national attention for attacking the teaching of evolution in the Scopes Trial .	William Jennings Bryan; Woodrow Wilson	the United States; Nebraska; the United States			12345
15941	Jean-Jacques Rousseau ( , ; ; 28 June 1712 – 2 July 1778 ) was a Genevan philosopher , writer and composer . Born in Geneva , his political philosophy influenced the progress of the Enlightenment throughout Europe , as well as aspects of the French Revolution and the development of modern political and educational thought . He befriended fellow philosophy writer Denis Diderot in 1742 , and would later write about Diderot 's romantic troubles in his autobiography , `` Confessions '' . His `` Discourse on Inequality '' and `` The Social Contract '' are cornerstones in modern political and social thought .	Diderot; Denis Diderot	Geneva; Genevan			12345
32668390	Stephen Decatur Jr. ( January 5 , 1779 – March 22 , 1820 ) was a United States naval officer and commodore . He was born on the eastern shore of Maryland in Worcester County , the son of a U.S. naval officer who served during the American Revolution . His father , Stephen Decatur Sr. , was a commodore in the U.S. Navy , and brought the younger Stephen into the world of ships and sailing early on . Shortly after attending college , Decatur followed in his father 's footsteps and joined the U.S. Navy at the age of nineteen as a midshipman .	Stephen; Decatur; Stephen Decatur Jr.; Stephen Decatur Sr.	United States; U.S.; Worcester County; Maryland	Stephen Decatur Jr.	Worcester County	12345
401102	Zulfikar Ali Bhutto ( ) ( 5 January 1928 – 4 April 1979 ) was a Pakistani politician who served as the 9th Prime Minister of Pakistan from 1973 to 1977 , and prior to that as the 4th President of Pakistan from 1971 to 1973 . He was also the founder of the Pakistan People 's Party ( PPP ) and served as its chairman until his execution in 1979 . Educated at Berkeley and Oxford , Bhutto trained as a barrister at Lincoln 's Inn . He entered politics as one of President Iskander Mirza 's cabinet members , before being assigned several ministries during President Ayub Khan 's military rule from 1958 .	Ayub Khan; Iskander Mirza; Zulfikar Ali Bhutto	Bhutto; Pakistan; Pakistan; Berkeley; Oxford			25947958
304107	Albert Benjamin `` Happy '' Chandler Sr. ( July 14 , 1898 – June 15 , 1991 ) was an American politician from the Commonwealth of Kentucky . He represented the Commonwealth in the U.S. Senate and served as its 44th and 49th governor . Aside from his political positions , he also served as the second Commissioner of Baseball from 1945 to 1951 and was inducted into the Baseball Hall of Fame in 1982 . His grandson , Ben Chandler , later served as congressman for Kentucky 's Sixth District .	Albert Benjamin; Chandler Sr.; Ben Chandler	the Commonwealth of Kentucky; Kentucky	Albert Benjamin	the Commonwealth of Kentucky	25947958
167289	Walter Leland Cronkite Jr. ( November 4 , 1916 – July 17 , 2009 ) was an American broadcast journalist who served as anchorman for the `` CBS Evening News '' for 19 years ( 1962–1981 ) . During the heyday of CBS News in the 1960s and 1970s , he was often cited as `` the most trusted man in America '' after being so named in an opinion poll . He reported many events from 1937 to 1981 , including bombings in World War II ; the Nuremberg trials ; combat in the Vietnam War ; the Dawson 's Field hijackings ; Watergate ; the Iran Hostage Crisis ; and the assassinations of President John F. Kennedy , civil rights pioneer Martin Luther King Jr. , and Beatles musician John Lennon . He was also known for his extensive coverage of the U.S. space program , from Project Mercury to the Moon landings to the Space Shuttle .	John F. Kennedy; Martin Luther King Jr.; Moon; John Lennon; Walter Leland Cronkite Jr.	America; U.S.; Nuremberg			25947958
26284	Richard III ( 2 October 1452 – 22 August 1485 ) was King of England from 1483 until his death at the Battle of Bosworth Field . He was the last king of the House of York and the last of the Plantagenet dynasty . His defeat at Bosworth Field , the last decisive battle of the Wars of the Roses , marked the end of the Middle Ages in England . He is the protagonist of `` Richard III '' , one of William Shakespeare 's history plays .	Richard III ''; Richard III; William Shakespeare 's	England			25947958
3162905	Dmitry Anatolyevich Medvedev ( ; ; born 14 September 1965 ) is a Russian politician who has served as the Prime Minister of Russia since 2012 . From 2008 to 2012 , Medvedev served as the third President of Russia . Regarded as more liberal than his predecessor and later successor as president , Vladimir Putin ( who was also prime minister during Medvedev 's presidency ) , Medvedev 's top agenda as president was a wide-ranging modernisation programme , aiming at modernising Russia 's economy and society , and lessening the country 's reliance on oil and gas . During Medvedev 's tenure , Russia emerged victorious in the Russo-Georgian War , and recovered from the Great Recession .	Dmitry Anatolyevich Medvedev; Medvedev; Medvedev; Medvedev; Medvedev; Vladimir Putin	Russia; Russia; Russia; Russia			25947958
19763	Martin Van Buren ( December 5 , 1782 – July 24 , 1862 ) was the eighth President of the United States from 1837 to 1841 . A founder of the Democratic Party , he previously served as the ninth Governor of New York , the tenth U.S. Secretary of State , and the eighth Vice President of the United States . He won the 1836 presidential election with the endorsement of popular outgoing President Andrew Jackson and the organizational strength of the Democratic Party . He lost his 1840 reelection bid to Whig Party nominee William Henry Harrison due in part to the poor economic conditions of the Panic of 1837 .	Andrew Jackson; Martin Van Buren; William Henry Harrison	the United States; U.S.; the United States; New York			25947958
18938180	Jeffrey Koons ( ; born January 21 , 1955 ) is an American artist known for working with popular culture subjects and his reproductions of banal objects—such as balloon animals produced in stainless steel with mirror-finish surfaces . He lives and works in both New York City and his hometown of York , Pennsylvania . His works have sold for substantial sums , including at least one world record auction price for a work by a living artist . On November 12 , 2013 , Koons 's `` Balloon Dog ( Orange ) '' sold at Christie 's Post-War and Contemporary Art Evening Sale in New York City for US $ 58.4 million , above its high US $ 55 million estimate , becoming the most expensive work by a living artist sold at auction .	Jeffrey Koons	New York City; Pennsylvania; US; New York City; York; US	Jeffrey Koons	Pennsylvania	25947958
954	Berthold Konrad Hermann Albert Speer ( ; ; March 19 , 1905 – September 1 , 1981 ) was a German architect who was , for most of World War II , Reich Minister of Armaments and War Production for Nazi Germany . Speer was Adolf Hitler 's chief architect before assuming ministerial office . As `` the Nazi who said sorry '' , he accepted moral responsibility at the Nuremberg trials and in his memoirs for complicity in crimes of the Nazi regime , while insisting he had been ignorant of the Holocaust . Speer joined the Nazi Party in 1931 , launching himself on a political and governmental career which lasted fourteen years .	Adolf Hitler 's; Speer; Speer; Berthold Konrad Hermann Albert Speer	Germany; Nuremberg			25947958
151804	Pedro A. Morales ( born October 22 , 1942 ) is a Puerto Rican retired professional wrestler . He is best known for his appearances in the United States with Worldwide Wrestling Associates ( WWA ) and the World Wide Wrestling Federation ( WWWF ) . Debuting in 1959 , Morales originally came to prominence with WWA in the 1960s , where he held the World Heavyweight Championship and World Tag Team Championship . In 1970 , he joined the WWWF , winning its World Heavyweight Championship and United States Championship .	Pedro A. Morales	the United States			25947958
2095829	Sonia Maria Sotomayor ( ; ; born June 25 , 1954 ) is an Associate Justice of the Supreme Court of the United States , appointed by President Barack Obama in May 2009 and confirmed in August 2009 . She has the distinction of being its first justice of Hispanic descent and the first Latina . Sotomayor was born in The Bronx , New York City , to Puerto Rican-born parents . Her father died when she was nine , and she was subsequently raised by her mother .	Sonia Maria Sotomayor; Sotomayor; Barack Obama	Bronx; New York City; Latina; the United States; Puerto Rican	Sonia Maria Sotomayor	Bronx	25947958
20208	Margaret Alice Murray ( 13 July 1863 – 13 November 1963 ) was an Anglo-Indian Egyptologist , archaeologist , anthropologist , historian , and folklorist . The first woman to be appointed as a lecturer in archaeology in the United Kingdom , she worked at University College London ( UCL ) from 1898 to 1935 . She served as President of the Folklore Society from 1953 to 1955 , and published widely over the course of her career . Born to a wealthy middle-class English family in Calcutta , British India , Murray divided her youth between India , Britain , and Germany , training as both a nurse and a social worker .	Margaret Alice Murray	India; Germany; Calcutta; India; Britain; the United Kingdom; Murray	Margaret Alice Murray	Calcutta	3034493801
13623554	June 14 , 1928 – October 9 , 1967 ) was an Argentine Marxist revolutionary , physician , author , guerrilla leader , diplomat and military theorist . A major figure of the Cuban Revolution , his stylized visage has become a ubiquitous countercultural symbol of rebellion and global insignia in popular culture . As a young medical student , Guevara traveled throughout South America and was radicalized by the poverty , hunger and disease he witnessed . His burgeoning desire to help overturn what he saw as the capitalist exploitation of Latin America by the United States prompted his involvement in Guatemala 's social reforms under President Jacobo Árbenz , whose eventual CIA-assisted overthrow at the behest of the United Fruit Company solidified Guevara 's political ideology .	Jacobo Árbenz; Guevara	the United States; Guatemala			3034493801
318482	Anne Hutchinson ( née Marbury ; July 1591 – August 1643 ) was a Puritan spiritual adviser , mother of 15 , and an important participant in the Antinomian Controversy which shook the infant Massachusetts Bay Colony from 1636 to 1638 . Her strong religious convictions were at odds with the established Puritan clergy in the Boston area , and her popularity and charisma helped create a theological schism that threatened to destroy the Puritans ' religious community in New England . She was eventually tried and convicted , then banished from the colony with many of her supporters . Hutchinson was born in Alford , Lincolnshire , England , the daughter of Francis Marbury , an Anglican cleric and school teacher who gave her a far better education than most other girls received .	Anne Hutchinson; Francis Marbury; Hutchinson	Puritan; Lincolnshire; Marbury; Alford; Puritan; Boston; England	Hutchinson	Alford	3034493801
233736	John Edward Brownlee , ( August 27 , 1883 – July 15 , 1961 ) was the fifth Premier of Alberta , Canada , serving from 1925 until 1934 . Born in Port Ryerse , Ontario , he studied history and political science at the University of Toronto 's Victoria College before moving west to Calgary to become a lawyer . His clients included the United Farmers of Alberta ( UFA ) ; through his connection with that lobby group , he was involved in founding the United Grain Growers ( UGG ) . After the UFA entered electoral politics and won the 1921 election , new premier Herbert Greenfield asked Brownlee to serve as his attorney-general .	John Edward Brownlee; Herbert Greenfield	Port Ryerse; Alberta; Canada; Calgary; Brownlee; Ontario	John Edward Brownlee	Port Ryerse	3034493801
52023	Farouk I ( ; `` Fārūq al-Awwal '' ; 11 February 1920 – 18 March 1965 ) was the tenth ruler of Egypt from the Muhammad Ali dynasty and the penultimate King of Egypt and the Sudan , succeeding his father , Fuad I , in 1936 . His full title was `` His Majesty Farouk I , by the grace of God , King of Egypt and the Sudan , Sovereign of Nubia , of Kordofan and of Darfur '' . He was overthrown in the 1952 military coup d'état and forced to abdicate in favour of his infant son , Ahmed Fuad , who succeeded him as Fuad II . He died in exile in Italy in 1965 .	Fuad I; Muhammad Ali; Fuad II; Ahmed Fuad	Kordofan; Sudan; Italy; Darfur; Sovereign of Nubia; Sudan; Egypt; Egypt; Egypt			3034493801
808	Sir Alfred Joseph Hitchcock , ( 13 August 1899 – 29 April 1980 ) was an English film director and producer , widely regarded as one of the most influential filmmakers in the history of cinema . Known as `` the Master of Suspense '' , he directed over 50 feature films in a career spanning six decades , becoming as well known as any of his actors thanks to his many interviews , his cameo roles in most of his films , and his hosting of `` Alfred Hitchcock Presents '' ( 1955–1965 ) . Born on the outskirts of London , Hitchcock entered the film industry in 1919 as a title card designer after training as a technical clerk and copy writer for a telegraph-cable company . He made his directorial debut with `` The Pleasure Garden '' ( 1925 ) .	Alfred Joseph Hitchcock	Hitchcock; London	Alfred Joseph Hitchcock	London	3034493801
39626432	Edward Joseph Snowden ( born June 21 , 1983 ) is an American computer professional , former Central Intelligence Agency ( CIA ) employee , and former contractor for the United States government who copied and leaked classified information from the National Security Agency ( NSA ) in 2013 without authorization . His disclosures revealed numerous global surveillance programs , many run by the NSA and the Five Eyes Intelligence Alliance with the cooperation of telecommunication companies and European governments . In 2013 , Snowden was hired by an NSA contractor , Booz Allen Hamilton , after previous employment with Dell and the CIA . On May 20 , 2013 , Snowden flew to Hong Kong after leaving his job at an NSA facility in Hawaii , and in early June he revealed thousands of classified NSA documents to journalists Glenn Greenwald , Laura Poitras , and Ewen MacAskill .	Laura Poitras; Edward Joseph Snowden; Glenn Greenwald; Ewen MacAskill; Booz Allen Hamilton	Hawaii; United States; Snowden; Hong Kong; Snowden			3034493801
6562280	Edward Scott Pruitt ( born May 9 , 1968 ) is an American lawyer and Republican politician from the state of Oklahoma . He served as the fourteenth Administrator of the Environmental Protection Agency ( EPA ) from February 17 , 2017 to July 6 , 2018 . He was nominated for the EPA position by President Donald Trump and was confirmed by the United States Senate to lead the EPA in a 52–46 vote . Pruitt represented Tulsa and Wagoner Counties in the Oklahoma Senate from 1998 until 2006 .	Donald Trump; Edward Scott Pruitt	Oklahoma; Tulsa; Wagoner Counties	Edward Scott Pruitt	Oklahoma	3034493801
1700594	Andrea Pirlo , Ufficiale OMRI ( ; born 19 May 1979 ) is an Italian former professional footballer . Pirlo was usually deployed as a deep-lying playmaker in midfield for both his club and national sides and he is widely regarded as one of the greatest ever exponents of this position due to his vision , ball control , creativity and passing ability , as well as for being a free-kick specialist . Pirlo began his club career as an attacking midfielder with his home-town side Brescia , where he later helped the team to win the Serie B title and obtain Serie A promotion in 1997 . His promising performances led to a move to Internazionale in 1998 , but he struggled to gain playing time at his new club due to his lack of pace as well as heavy competition with other players in his position and was subsequently sent on loan in 1999 .	Andrea Pirlo; Brescia	Internazionale			3034493801
5042706	Albert Arnold Gore Jr. ( born March 31 , 1948 ) is an American politician and environmentalist who served as the 45th Vice President of the United States from 1993 to 2001 . Gore was Bill Clinton 's running mate in their successful campaign in 1992 , and the pair was re-elected in 1996 . Near the end of Clinton 's second term , Gore was selected as the Democratic nominee for the 2000 presidential election but lost the election in a very close race after a Florida recount . After his term as vice-president ended in 2001 , Gore remained prominent as an author and environmental activist , whose work in climate change activism earned him ( jointly with the IPCC ) the Nobel Peace Prize in 2007 .	Gore; Gore; Gore; Bill Clinton 's; Clinton; Albert Arnold Gore Jr.	the United States; Florida			3034493801
19376148	Stephen William Hawking ( 8 January 1942 – 14 March 2018 ) was an English theoretical physicist , cosmologist , and author , who was director of research at the Centre for Theoretical Cosmology at the University of Cambridge at the time of his death . He was the Lucasian Professor of Mathematics at the University of Cambridge between 1979 and 2009 . His scientific works included a collaboration with Roger Penrose on gravitational singularity theorems in the framework of general relativity and the theoretical prediction that black holes emit radiation , often called Hawking radiation . Hawking was the first to set out a theory of cosmology explained by a union of the general theory of relativity and quantum mechanics .	Stephen William Hawking; Roger Penrose	Hawking			3034485572
42734413	George Louis Kline ( March 3 , 1921 – October 21 , 2014 ) was a philosopher , translator ( esp . of Russian philosophy and poetry ) , and prominent American specialist in Russian and Soviet philosophy , author of more than 300 publications , including two monographs , six edited or co-edited anthologies , more than 165 published articles , book chapters , and encyclopedia entries , over 55 translations , and 75 reviews . The majority of his works are in English , but translations of some of them have appeared in Russian , German , French , Spanish , Portuguese , Polish , Serbo-Croatian , Korean and Japanese . He is particularly noted for his authoritative studies on Spinoza , Hegel , and Whitehead .	Hegel; George Louis Kline; Serbo-Croatian; Spinoza	Whitehead			3034485572
17443	Catherine Bush ( born 30 July 1958 ) is an English singer-songwriter , musician , dancer and record producer . Bush came to note in 1978 when , aged 19 , she topped the UK Singles Chart for four weeks with her debut single `` Wuthering Heights '' , becoming the first female artist to achieve a UK number one with a self-written song . She has since released twenty-five UK Top 40 singles , including the top-ten hits `` The Man with the Child in His Eyes '' , `` Babooshka '' , `` Running Up That Hill '' , `` Do n't Give Up '' ( a duet with Peter Gabriel ) and `` King of the Mountain '' . She has released ten studio albums , all of which reached the UK Top 10 , including the UK number-one albums `` Never for Ever '' ( 1980 ) , `` Hounds of Love '' ( 1985 ) , and the compilation `` The Whole Story '' ( 1986 ) .	Bush; Catherine Bush; Peter Gabriel	UK; UK; UK; UK			3034485572
33277	William Morris ( 24 March 1834 – 3 October 1896 ) was a British textile designer , poet , novelist , translator , and socialist activist . Associated with the British Arts and Crafts Movement , he was a major contributor to the revival of traditional British textile arts and methods of production . His literary contributions helped to establish the modern fantasy genre , while he played a significant role in propagating the early socialist movement in Britain . Born in Walthamstow , Essex , to a wealthy middle-class family , Morris came under the strong influence of medievalism while studying Classics at Oxford University , there joining the Birmingham Set .	William Morris; Morris	Walthamstow; Essex; Britain	William Morris	Walthamstow	3034485572
92221	Alben William Barkley ( ; November 24 , 1877 – April 30 , 1956 ) was an American lawyer and politician from Kentucky who served in both houses of Congress and as the 35th Vice President of the United States from 1949 to 1953 . In 1905 , he was elected county attorney for McCracken County , Kentucky . He was chosen Executive in 1909 and U.S. Representative from Kentucky 's First District in 1912 . As a Representative , he was a liberal Democrat , supporting President Woodrow Wilson 's New Freedom domestic agenda and foreign policy .	Alben William Barkley; Woodrow Wilson	Kentucky; McCracken County; New Freedom; Kentucky; U.S.; Kentucky; the United States	Alben William Barkley	Kentucky	3034485572
7412236	Steven Paul Jobs ( ; February 24 , 1955 – October 5 , 2011 ) was an American business magnate and investor . He was the chairman , chief executive officer ( CEO ) , and co-founder of Apple Inc. ; chairman and majority shareholder of Pixar ; a member of The Walt Disney Company 's board of directors following its acquisition of Pixar ; and the founder , chairman , and CEO of NeXT . Jobs is widely recognized as a pioneer of the microcomputer revolution of the 1970s and 1980s , along with Apple co-founder Steve Wozniak . Jobs was born in San Francisco , California , to parents who put him up for adoption at birth .	Steve Wozniak; Jobs; Jobs; Steven Paul Jobs	Pixar; California; San Francisco; Pixar	Steven Paul Jobs	San Francisco	3034485572
97509	Michael Collins ( ; 16 October 1890 – 22 August 1922 ) was an Irish revolutionary , soldier and politician who was a leading figure in the early-20th-century Irish struggle for independence . He was Chairman of the Provisional Government of the Irish Free State from January 1922 until his assassination in August 1922 . Collins was born in Woodfield , County Cork , the youngest of eight children , and his family had republican connections reaching back to the 1798 rebellion . He moved to London in 1906 , to become a clerk in the Post Office Savings Bank at Blythe House .	Michael Collins	London; Woodfield	Michael Collins	Woodfield	3034485572
6390734	Emmerson Dambudzo Mnangagwa ( , US : ( ) ; born 15 September 1942 ) is a Zimbabwean revolutionary and politician who serves as the third and current President of Zimbabwe since 24 November 2017 . A member of ZANU–PF and a longtime ally of former President Robert Mugabe , he held a series of Cabinet portfolios and was First Vice-President of Zimbabwe under Mugabe until November 2017 , when he was dismissed before coming to power in a coup d'état . He was officially inaugurated as the third President of Zimbabwe on 26 August 2018 after narrowly winning the Zimbabwean general election , 2018 . Mnangagwa was born in 1942 in Shabani , Southern Rhodesia , to a large Shona family .	Robert Mugabe; Mugabe; Shona; Mnangagwa	US; Zimbabwe; Shabani; Zimbabwe; Zimbabwe	Emmerson Dambudzo Mnangagwa	Shabani	3034485572
393805	Viktor Fedorovych Yanukovych ( , ; born 9 July 1950 ) is a Ukrainian politician who was elected as the fourth President of Ukraine on 7 February 2010 . He served as President from February 2010 until his removal from power in February 2014 as a result of the 2014 Ukrainian revolution . He is currently in exile in Russia and wanted by Ukraine for high treason . Yanukovych served as the governor of Donetsk Oblast , a province in eastern Ukraine , from 1997 to 2002 .	Yanukovych; Viktor Fedorovych Yanukovych	Ukraine; Russia; Ukraine; Ukraine; Donetsk Oblast			3034485572
25740	Robert Edward Lee ( January 19 , 1807 – October 12 , 1870 ) was an American and Confederate soldier , best known as a commander of the Confederate States Army . He commanded the Army of Northern Virginia in the American Civil War from 1862 until his surrender in 1865 . A son of Revolutionary War officer Henry `` Light Horse Harry '' Lee III , Lee was a top graduate of the United States Military Academy and an exceptional officer and military engineer in the United States Army for 32 years . During this time , he served throughout the United States , distinguished himself during the Mexican–American War , and served as Superintendent of the United States Military Academy .	Robert Edward Lee; Henry; Lee III; Lee	the United States			3034485572
5445094	Vyjayanthimala ( Vyjayanthimala Bali , born 13 August 1936 ) is an Indian film actress , Bharathanatyam dancer , Carnatic singer , dance choreographer and parliamentarian . Regarded as the `` first female superstar '' of Indian cinema , She made her debut in the Tamil language film `` Vazhkai '' in 1949 and in the Telugu film `` Jeevitham '' in 1950 . She later became one of the most prominent actresses of South Indian cinema and in the golden era of Bollywood and was known as one of the iconic leading actress of all time . Vyjayanthimala was one of the biggest Bollywood stars with a career lasting almost two decades .	Jeevitham; Vyjayanthimala Bali	Bollywood; Vyjayanthimala; Vyjayanthimala			3034485572
42431712	Phạm Đan Trường ( born 29 November 1976 ) is a Vietnamese male singer , actor . He is known for pop , dance and folk song . He has been a professional singer since 1997 . He has been active for over 20 years , after winning 2nd prize at a talent show `` The Voice of District 10 '' , Ho Chi Minh City .	Phạm Đan Trường	Ho Chi Minh City			3034269515
925561	Josephine Sarah `` Sadie '' Earp ( née Marcus ; 1860 – December 19 , 1944 ) was the common-law wife of Wyatt Earp , a famed Old West lawman and gambler . She met Wyatt in 1881 in the frontier boom town of Tombstone , Arizona Territory , when she was living with Johnny Behan , sheriff of Cochise County , Arizona . Josephine was born in New York to a Prussian Jewish family ; her father was a baker . They moved to San Francisco , where Josephine attended dance school as a girl .	Josephine; Wyatt Earp; Josephine; Wyatt; Josephine Sarah; Johnny Behan	New York; Arizona; San Francisco; Tombstone; Cochise County; Arizona Territory	Josephine Sarah	New York	3034269515
17380298	Robert Gabriel Mugabe ( ; ; born 21 February 1924 ) is a Zimbabwean politician and revolutionary who served as Prime Minister of Zimbabwe from 1980 to 1987 and then as President from 1987 to 2017 . He chaired the Zimbabwe African National Union ( ZANU ) group from 1975 to 1980 and led its successor political party , the ZANU – Patriotic Front ( ZANU–PF ) , from 1980 to 2017 . Ideologically an African nationalist , during the 1970s and 1980s he identified as a Marxist–Leninist , although after the 1990s self-identified only as a socialist . His policies have been described as Mugabeism .	Robert Gabriel Mugabe	Zimbabwe			3034269515
58702	Colonel John Herschel Glenn Jr. ( July 18 , 1921 – December 8 , 2016 ) was a United States Marine Corps aviator , engineer , astronaut , businessman , and politician . He was the first American to orbit the Earth , circling it three times in 1962 . Following his retirement from NASA , he served from 1974 to 1999 as a Democratic United States Senator from Ohio . Before joining NASA , Glenn was a distinguished fighter pilot in World War II , China and Korea .	Glenn Jr.; Glenn; John Herschel	a United States Marine Corps; United States; China; Korea; Ohio			3034269515
